label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color,in_degree,out_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank_centrality
Switzerland,284,48,490.0,452.0,148,133,0.5211267605633803,0.4683098591549295,5,tab:brown,52,37,89,0.483695652173913,0.004462771589533997,0.5609756097560976,0.15146253075240454,0.008517191626578198
Honduras,283,49,512.0,383.0,157,126,0.5547703180212014,0.4452296819787986,4,tab:purple,23,26,49,0.266304347826087,0.007600708462578979,0.44019138755980863,0.020819637060759462,0.0069326327565646445
Bulgaria,282,50,441.0,458.0,143,139,0.5070921985815603,0.4929078014184397,5,tab:brown,46,42,88,0.4782608695652174,0.007621077885131294,0.5139664804469274,0.14332305922924765,0.008826872992613
El Salvador,282,51,469.0,451.0,139,143,0.4929078014184397,0.5070921985815603,4,tab:purple,22,22,44,0.2391304347826087,0.00476678715158825,0.3948497854077253,0.007407300370583631,0.004494514245754083
Colombia,278,52,382.0,398.0,144,134,0.5179856115107914,0.4820143884892086,2,tab:green,31,24,55,0.29891304347826086,0.0062771484780742084,0.5395894428152492,0.05062859298577762,0.008708454167978212
Cameroon,277,53,506.0,271.0,196,81,0.7075812274368231,0.2924187725631769,6,tab:pink,52,39,91,0.4945652173913043,0.023901691534814543,0.5609756097560976,0.05378422144729283,0.009709095367199733
Ghana,276,54,468.0,249.0,184,92,0.6666666666666666,0.3333333333333333,6,tab:pink,50,41,91,0.4945652173913043,0.0267161494334256,0.5492537313432836,0.044536635934194276,0.009232347542751668
Senegal,270,55,465.0,226.0,184,86,0.6814814814814815,0.3185185185185185,6,tab:pink,50,31,81,0.44021739130434784,0.017022040832873665,0.5443786982248521,0.051528756920486335,0.00882554821412016
Nigeria,269,56,497.0,245.0,189,80,0.7026022304832714,0.2973977695167286,6,tab:pink,51,37,88,0.4782608695652174,0.02482107115111768,0.5443786982248521,0.05472404425599103,0.0099749993938507
Bahrain,269,57,372.0,402.0,127,142,0.4721189591078067,0.5278810408921933,0,tab:blue,34,32,66,0.358695652173913,0.010022272464763485,0.4932975871313673,0.02470751530019344,0.0050789931720816835
Algeria,267,58,503.0,276.0,172,95,0.6441947565543071,0.3558052434456928,6,tab:pink,55,40,95,0.5163043478260869,0.02461529617729303,0.5492537313432836,0.04868768378707042,0.008867165342402353
Greece,266,59,374.0,383.0,142,124,0.5338345864661654,0.4661654135338345,5,tab:brown,49,41,90,0.4891304347826087,0.008630514523956695,0.5427728613569321,0.14285707088606658,0.006480617833501954
Ivory Coast,265,60,542.0,262.0,189,76,0.7132075471698113,0.2867924528301886,6,tab:pink,44,25,69,0.375,0.00727689816276107,0.5054945054945055,0.037596679892935934,0.009098978290542903
Tunisia,264,61,473.0,256.0,171,93,0.6477272727272727,0.3522727272727273,6,tab:pink,53,41,94,0.5108695652173912,0.02959091431066251,0.5661538461538461,0.04798646975330276,0.008563354263764884
Bolivia,264,62,283.0,610.0,75,189,0.2840909090909091,0.7159090909090909,2,tab:green,12,23,35,0.1902173913043478,0.00196314704985107,0.416289592760181,0.02205566548149533,0.006283826626668652
Luxembourg,261,63,146.0,785.0,30,231,0.1149425287356321,0.8850574712643678,5,tab:brown,20,43,63,0.34239130434782605,0.0010255193873671584,0.42298850574712643,0.04916226418781119,0.0016974862859315885
Turkey,261,64,391.0,399.0,129,129,0.4942528735632184,0.4942528735632184,5,tab:brown,51,39,90,0.4891304347826087,0.007366047855601129,0.5609756097560976,0.14444786210330782,0.006814400923404502
Poland,260,65,504.0,333.0,155,102,0.5961538461538461,0.3923076923076923,5,tab:brown,64,42,106,0.5760869565217391,0.014141492738370535,0.5859872611464968,0.18070295011380869,0.008331361758179614
Cyprus,256,66,207.0,679.0,52,204,0.203125,0.796875,5,tab:brown,28,43,71,0.3858695652173913,0.0010832799079381664,0.44768856447688565,0.06875965309403373,0.0021997038554708824
Ecuador,253,67,314.0,541.0,84,169,0.3320158102766798,0.6679841897233202,2,tab:green,19,21,40,0.21739130434782608,0.0030912517313575285,0.4986449864498645,0.035427283353455345,0.005744472264501274
Sudan,252,68,308.0,366.0,113,139,0.4484126984126984,0.5515873015873016,6,tab:pink,36,40,76,0.41304347826086957,0.009091125472538302,0.44878048780487806,0.023402484830875012,0.004257565793547831
Jamaica,250,69,416.0,337.0,139,111,0.556,0.444,4,tab:purple,25,26,51,0.27717391304347827,0.010036489905029988,0.431924882629108,0.011501193323086812,0.004603998898676138
Malawi,250,70,292.0,349.0,111,139,0.444,0.556,6,tab:pink,28,34,62,0.33695652173913043,0.0014555764969323968,0.42990654205607476,0.02109395328455609,0.0038098613614626327
Morocco,248,71,433.0,198.0,168,80,0.6774193548387096,0.3225806451612903,6,tab:pink,54,40,94,0.5108695652173912,0.026370497273315942,0.573208722741433,0.05688295894499946,0.009383717178194414
Malta,241,72,115.0,689.0,23,218,0.0954356846473029,0.9045643153526972,5,tab:brown,17,50,67,0.3641304347826087,0.004835710911651905,0.47058823529411764,0.02716006283002758,0.0013138549916127883
Hong Kong,239,73,353.0,493.0,81,158,0.3389121338912134,0.6610878661087866,0,tab:blue,19,33,52,0.2826086956521739,0.0013809482695984652,0.4153498871331828,0.010116932228640357,0.0021538374456092817
Oman,238,74,369.0,378.0,107,131,0.4495798319327731,0.5504201680672269,0,tab:blue,34,24,58,0.31521739130434784,0.0030479919257239726,0.4779220779220779,0.022258604852439186,0.003637732081058816
Guinea,238,75,370.0,298.0,134,104,0.5630252100840336,0.4369747899159664,6,tab:pink,40,29,69,0.375,0.0035525354641314515,0.46115288220551376,0.029903976527557857,0.006404499361078262
Republic of Ireland,237,76,376.0,301.0,128,109,0.540084388185654,0.459915611814346,5,tab:brown,48,37,85,0.46195652173913043,0.005650292932680243,0.5287356321839081,0.12994713186718823,0.006865945446810722
Mali,234,77,367.0,251.0,143,91,0.6111111111111112,0.3888888888888889,6,tab:pink,35,31,66,0.358695652173913,0.0011630464842592887,0.43914081145584727,0.02545856561093789,0.005704076574658108
DR Congo,232,78,410.0,296.0,132,100,0.5689655172413793,0.4310344827586206,6,tab:pink,41,35,76,0.41304347826086957,0.004959177108801773,0.46115288220551376,0.02947297463919291,0.006147505814012405
Australia,228,79,657.0,196.0,166,62,0.7280701754385965,0.2719298245614035,0,tab:blue,49,29,78,0.42391304347826086,0.02309469841004227,0.5661538461538461,0.052256120932606974,0.00791319087774497
Syria,228,80,425.0,312.0,119,109,0.5219298245614035,0.4780701754385965,0,tab:blue,37,32,69,0.375,0.0077315829353072785,0.4791666666666667,0.023439876321958486,0.003947381054992122
Panama,227,81,350.0,410.0,103,124,0.4537444933920704,0.5462555066079295,4,tab:purple,24,24,48,0.2608695652173913,0.006427375241128426,0.42790697674418604,0.011809726795786724,0.0042531500185124995
Tanzania,226,82,262.0,342.0,86,140,0.3805309734513274,0.6194690265486725,6,tab:pink,24,33,57,0.30978260869565216,0.0019379850263056702,0.4134831460674157,0.016276770312775423,0.0027340800295644735
Haiti,226,83,457.0,306.0,133,93,0.588495575221239,0.411504424778761,4,tab:purple,25,24,49,0.266304347826087,0.0070542708947701985,0.4191343963553531,0.008286338065736927,0.003472941396942906
Iceland,224,84,244.0,444.0,73,151,0.3258928571428571,0.6741071428571429,5,tab:brown,33,43,76,0.41304347826086957,0.003604566554487995,0.47058823529411764,0.09427590410794326,0.003622066173929536
Guatemala,219,85,424.0,310.0,121,98,0.5525114155251142,0.4474885844748858,4,tab:purple,23,17,40,0.21739130434782608,0.0028390431834397966,0.4008714596949891,0.009293950849839198,0.004134457535621236
Albania,212,86,178.0,387.0,59,150,0.2783018867924528,0.7075471698113207,5,tab:brown,34,40,74,0.40217391304347827,0.0018137896337773927,0.4577114427860697,0.09168952813157115,0.0027588983319606413
Zimbabwe,209,87,316.0,258.0,116,93,0.5550239234449761,0.4449760765550239,6,tab:pink,34,36,70,0.3804347826086956,0.008771575321803076,0.44019138755980863,0.022884274444826408,0.004199634153875985
North Korea,209,88,418.0,238.0,130,79,0.6220095693779905,0.3779904306220095,0,tab:blue,35,24,59,0.32065217391304346,0.004513560295582314,0.5027322404371585,0.03244589595099601,0.004123855836523127
Ethiopia,207,89,265.0,372.0,83,124,0.4009661835748792,0.5990338164251208,6,tab:pink,29,36,65,0.3532608695652174,0.002097547444299805,0.423963133640553,0.02117088549633393,0.00318155052218207
Venezuela,207,90,173.0,535.0,42,165,0.2028985507246377,0.7971014492753623,2,tab:green,11,15,26,0.14130434782608695,0.0008579435333833946,0.4289044289044289,0.016655143818760095,0.0027293867329461286
Estonia,202,91,171.0,435.0,50,152,0.2475247524752475,0.7524752475247525,5,tab:brown,19,40,59,0.32065217391304346,0.001470317135337412,0.40707964601769914,0.03475206446804458,0.001633488709378851
Latvia,202,92,237.0,328.0,80,122,0.396039603960396,0.6039603960396039,5,tab:brown,25,41,66,0.358695652173913,0.0032621265431760967,0.45098039215686275,0.0543745361638658,0.002187206038560694
Cuba,202,93,335.0,360.0,99,103,0.4900990099009901,0.5099009900990099,4,tab:purple,22,15,37,0.20108695652173914,0.004013485066463443,0.4309133489461358,0.009872384750490975,0.0029446362079850923
Lithuania,200,94,189.0,344.0,71,129,0.355,0.645,5,tab:brown,24,39,63,0.34239130434782605,0.0018485197547725026,0.42592592592592593,0.052108766624447654,0.0022506455486686434
Israel,199,95,345.0,304.0,102,97,0.5125628140703518,0.4874371859296482,5,tab:brown,43,39,82,0.44565217391304346,0.020057402271361987,0.5257142857142857,0.07418410816076743,0.0037960742079007487
Congo,198,96,277.0,312.0,90,108,0.4545454545454545,0.5454545454545454,6,tab:pink,29,31,60,0.32608695652173914,0.0035995096214574674,0.42298850574712643,0.020239273957649802,0.004377320371704133
Cambodia,197,97,212.0,582.0,50,147,0.2538071065989847,0.7461928934010152,0,tab:blue,16,32,48,0.2608695652173913,0.005199605895363464,0.39400428265524623,0.007192560003527983,0.0014826471200604051
Bangladesh,195,98,176.0,443.0,58,137,0.2974358974358974,0.7025641025641025,0,tab:blue,14,37,51,0.27717391304347827,0.0012182135147897608,0.37398373983739835,0.004438908277436739,0.0013396159373697902
Philippines,193,99,211.0,554.0,53,140,0.2746113989637305,0.7253886010362695,0,tab:blue,19,32,51,0.27717391304347827,0.003066060091497276,0.4107142857142857,0.008844234544794972,0.0013735949099015956
Togo,188,100,212.0,279.0,80,108,0.425531914893617,0.574468085106383,6,tab:pink,31,38,69,0.375,0.002451734957150312,0.42990654205607476,0.022206914936261094,0.00397869213052816
Czech Republic,185,101,357.0,178.0,123,59,0.6648648648648648,0.3189189189189189,5,tab:brown,49,33,82,0.44565217391304346,0.006347552519975778,0.5558912386706949,0.13596787613383868,0.0065631747719958914
Jordan,184,102,307.0,238.0,103,81,0.5597826086956522,0.4402173913043478,0,tab:blue,34,28,62,0.33695652173913043,0.007083165977215529,0.519774011299435,0.028211838069868052,0.004204332589364809
Vietnam,181,103,323.0,288.0,87,94,0.4806629834254143,0.5193370165745856,0,tab:blue,20,24,44,0.2391304347826087,0.001769344507586399,0.42298850574712643,0.010279357975161644,0.0021666188596495385
Canada,180,104,318.0,233.0,104,76,0.5777777777777777,0.4222222222222222,4,tab:purple,25,29,54,0.2934782608695652,0.018572541775981537,0.48293963254593175,0.016868223327621928,0.004771619788528303
South Africa,179,105,283.0,173.0,119,60,0.664804469273743,0.3351955307262569,6,tab:pink,41,36,77,0.4184782608695652,0.018347085766424312,0.5411764705882353,0.03877582504909048,0.0054035334735951035
Burkina Faso,178,106,244.0,266.0,87,91,0.4887640449438202,0.5112359550561798,6,tab:pink,31,33,64,0.34782608695652173,0.0010358832698871352,0.42691415313225056,0.021219077772596993,0.0037231541614569314
Jersey,176,107,542.0,188.0,135,41,0.7670454545454546,0.2329545454545454,3,tab:red,3,3,6,0.03260869565217391,0.00550055318307816,0.24274406332453827,6.369788245983415e-05,0.0065571717440153195
Croatia,174,108,345.0,162.0,125,46,0.7183908045977011,0.264367816091954,5,tab:brown,53,29,82,0.44565217391304346,0.0053265138574898,0.5661538461538461,0.15801320767299196,0.007876372145508492
Faroe Islands,174,109,121.0,451.0,29,145,0.1666666666666666,0.8333333333333334,5,tab:brown,12,43,55,0.29891304347826086,0.008236068378305412,0.39316239316239315,0.02007552509239434,0.0012969707960503118
Yugoslavia,172,110,396.0,224.0,115,57,0.6686046511627907,0.3313953488372093,5,tab:brown,41,23,64,0.34782608695652173,0.0014885116888145567,0.5411764705882353,0.13965591748317605,0.009271365841364971
Curaçao,172,111,297.0,330.0,74,98,0.4302325581395348,0.5697674418604651,4,tab:purple,20,21,41,0.22282608695652173,0.00666609961357285,0.3898305084745763,0.0069495458296662425,0.0024037146104430515
Guernsey,172,112,481.0,237.0,112,60,0.6511627906976745,0.3488372093023256,3,tab:red,3,1,4,0.021739130434782608,0.0,0.24274406332453827,6.369788245983415e-05,0.006298211812104781
San Marino,171,113,22.0,754.0,0,171,0.0,1.0,5,tab:brown,0,45,45,0.24456521739130435,0.0,0.0,2.0184902868349927e-76,0.000810810810810811
Mozambique,171,114,182.0,247.0,72,99,0.4210526315789473,0.5789473684210527,6,tab:pink,25,31,56,0.30434782608695654,0.0010260558361587745,0.41818181818181815,0.017106843247834642,0.002618669844767569
Angola,171,115,241.0,194.0,92,79,0.5380116959064327,0.4619883040935672,6,tab:pink,34,30,64,0.34782608695652173,0.001731606269205222,0.4329411764705882,0.02255603576464568,0.003741869371717099
Madagascar,168,116,229.0,273.0,77,91,0.4583333333333333,0.5416666666666666,6,tab:pink,31,33,64,0.34782608695652173,0.0037438380984267778,0.4329411764705882,0.02043609691452261,0.002751434912215013
Nepal,167,117,148.0,465.0,44,123,0.2634730538922156,0.7365269461077845,0,tab:blue,9,30,39,0.21195652173913043,0.0003962191580739028,0.3357664233576642,0.0016239197546101232,0.0010750519587553254
Slovakia,165,118,267.0,203.0,89,73,0.5393939393939394,0.4424242424242424,5,tab:brown,33,33,66,0.358695652173913,0.004987102226470951,0.47058823529411764,0.07649757971878597,0.0037152568864345648
Uzbekistan,165,119,376.0,177.0,114,51,0.6909090909090909,0.3090909090909091,0,tab:blue,34,18,52,0.2826086956521739,0.0016712046940580887,0.48548812664907653,0.023770870710083814,0.003783638336716193
Mauritius,163,120,163.0,321.0,46,117,0.2822085889570552,0.7177914110429447,6,tab:pink,15,31,46,0.25,0.0010007889327955256,0.38413361169102295,0.007513278200827507,0.0016044891913126478
Gabon,162,121,217.0,192.0,86,76,0.5308641975308642,0.4691358024691358,6,tab:pink,32,31,63,0.34239130434782605,0.0011623264544514662,0.4433734939759036,0.02496116712080426,0.004041712886571518
Taiwan,162,122,193.0,457.0,46,116,0.2839506172839506,0.7160493827160493,0,tab:blue,19,34,53,0.28804347826086957,0.012432746322537687,0.43601895734597157,0.012703951137328655,0.001774494891358768
Czechoslovakia,159,123,331.0,193.0,100,59,0.6289308176100629,0.3710691823899371,5,tab:brown,32,24,56,0.30434782608695654,0.0007678473474032015,0.46938775510204084,0.12484169915287531,0.008787493047544137
Yemen,158,124,141.0,441.0,34,124,0.2151898734177215,0.7848101265822784,0,tab:blue,15,32,47,0.2554347826086956,0.0014731730324660404,0.37782340862423,0.004880305660084869,0.001306578363838782
Suriname,157,125,287.0,237.0,82,75,0.5222929936305732,0.4777070063694267,4,tab:purple,14,21,35,0.1902173913043478,0.0004356438220119263,0.3205574912891986,0.0016376132924756002,0.0020016419805983427
Lebanon,154,126,218.0,254.0,61,93,0.3961038961038961,0.6038961038961039,0,tab:blue,27,27,54,0.2934782608695652,0.0037357804389370184,0.44768856447688565,0.01447612104557467,0.0022743635535406146
Laos,154,127,161.0,555.0,35,119,0.2272727272727272,0.7727272727272727,0,tab:blue,8,27,35,0.1902173913043478,0.0009069955913941287,0.3614931237721022,0.0023561447306259717,0.0010933314639398517
Slovenia,152,128,210.0,182.0,76,73,0.5,0.4802631578947368,5,tab:brown,29,35,64,0.34782608695652173,0.005483168861690104,0.4880636604774536,0.07451236327243474,0.0030059387088544236
Liberia,150,129,136.0,259.0,50,100,0.3333333333333333,0.6666666666666666,6,tab:pink,27,37,64,0.34782608695652173,0.005850691248767251,0.42990654205607476,0.0181723879993227,0.0025457607034083942
Tahiti,149,130,505.0,220.0,96,53,0.6442953020134228,0.3557046979865771,1,tab:orange,7,12,19,0.10326086956521739,0.004737438320181225,0.349146110056926,0.0007375775362505129,0.002704722799921936
Maldives,149,131,203.0,404.0,51,98,0.3422818791946309,0.6577181208053692,0,tab:blue,13,27,40,0.21739130434782608,0.002086432233041341,0.3471698113207547,0.0027565994649265606,0.0012226705782823505
Liechtenstein,147,132,47.0,469.0,10,137,0.0680272108843537,0.9319727891156464,5,tab:brown,9,35,44,0.2391304347826087,0.005149163755004595,0.39065817409766457,0.009924596719102886,0.0009371575213026405
Namibia,147,133,172.0,257.0,57,90,0.3877551020408163,0.6122448979591837,6,tab:pink,26,37,63,0.34239130434782605,0.0013072445481221084,0.4144144144144144,0.016988326477545963,0.002307847856467437
Rwanda,146,134,174.0,204.0,62,84,0.4246575342465753,0.5753424657534246,6,tab:pink,24,29,53,0.28804347826086957,0.0013255627207984064,0.4107142857142857,0.015037562886649205,0.002070367535954619
New Caledonia,146,135,505.0,190.0,91,55,0.6232876712328768,0.3767123287671233,1,tab:orange,6,9,15,0.08152173913043478,0.0012445022401676915,0.33638025594149906,0.0006764770012785445,0.002603547241455436
Libya,146,136,234.0,211.0,64,82,0.4383561643835616,0.5616438356164384,6,tab:pink,37,36,73,0.3967391304347826,0.00889979849947319,0.46115288220551376,0.027225418006071807,0.0031675933323346015
Vietnam Republic,145,137,296.0,253.0,74,71,0.5103448275862069,0.4896551724137931,0,tab:blue,13,14,27,0.1467391304347826,0.00018406754901350236,0.4134831460674157,0.00957702795407599,0.0022526469113791268
Moldova,144,138,111.0,308.0,31,113,0.2152777777777778,0.7847222222222222,5,tab:brown,21,42,63,0.34239130434782605,0.007088319842801929,0.4730077120822622,0.03567380245479913,0.0014321071411995388
Serbia,144,139,285.0,152.0,94,47,0.6527777777777778,0.3263888888888889,5,tab:brown,40,31,71,0.3858695652173913,0.00809287499436802,0.5380116959064327,0.10797559490505525,0.004590990522109092
Saint Vincent and the Grenadines,143,140,219.0,316.0,63,80,0.4405594405594406,0.5594405594405595,4,tab:purple,11,21,32,0.17391304347826086,0.0003739876190457322,0.2987012987012987,0.0006807358999525102,0.0018023896751402815
Pakistan,142,141,124.0,388.0,34,108,0.2394366197183098,0.7605633802816901,0,tab:blue,15,33,48,0.2608695652173913,0.0040739450200750855,0.40618101545253865,0.006968829334657153,0.001214995502131917
New Zealand,142,142,318.0,177.0,88,54,0.6197183098591549,0.380281690140845,1,tab:orange,23,31,54,0.2934782608695652,0.02720244318032315,0.4791666666666667,0.017639624512715783,0.004034044626789559
Ukraine,141,143,228.0,145.0,88,50,0.624113475177305,0.3546099290780142,5,tab:brown,40,23,63,0.34239130434782605,0.0008142219733519951,0.5125348189415042,0.11809271180481293,0.00441728476698554
